T_oa,T_ia,T_sky,I,h_co,T_SE
272.15,293.15,245.87594774822927,668.4820446987663,27.837466666666664,36.462656983569076
272.15,293.15,245.89144796369212,650.9723897541813,28.326533333333334,35.50758489568262
272.15,293.15,245.90692406678536,632.8786931452364,28.8156,34.52065598974016
272.15,293.15,245.9223761440807,614.2692961719129,29.30466666666667,33.50559797301343
272.15,293.15,245.9378042816866,595.2123406502394,29.793733333333332,32.46612767183124
272.15,293.15,245.95320856525126,575.7752184806077,30.2828,31.405921008033147
272.15,293.15,245.96858907996548,550.8801947335961,30.771866666666668,30.048010621832518
272.15,293.15,245.9839459105656,525.7525091595181,31.260933333333334,28.677409590519172
272.15,293.15,245.99927914133633,500.473819990824,31.75,27.298571999499487
272.15,293.15,246.02987513828745,475.1248362976155,32.23906666666667,25.915900161688118
