exergy_c_sun,exergy_c_sky,exergy_c_gnd,exergy_c_cv
0.0,6.89060964422918,0.6227234427951143,3.5626027174422474
0.0,6.894292154303701,0.6217408850753343,3.5571724831579794
0.0,6.8979555348964645,0.6207648999171009,3.551781149827863
0.0,6.901600125807465,0.6197953768696792,3.546428092210944
0.0,6.905226259471179,0.6188322079912479,3.5411126992101125
0.0,6.908834261165565,0.617875287775438,3.535834373459358
0.0,6.912424449210347,0.6169245130811677,3.5305925309284683
0.0,6.915997135158658,0.615979783065275,3.5253866005416192
0.0,6.919552623986087,0.6150409991161466,3.520216023805807
0.0,6.923091214271359,0.614108064790533,3.515080254453705
0.0,6.926613198370709,0.6131808857522442,3.509978758098973
0.0,6.930118862587108,0.61225936971304,3.504911011902362
0.0,6.9336084873336095,0.6113434263754838,3.4998765042502433
