,exergy_if_BL,exergy_c_BL,exergy_of_BL,exergy_if_sun,exergy_if_sky,exergy_if_gnd,exergy_if_cv,exergy_c_sun,exergy_c_rad,exergy_of_os,exergy_of_cd,0,0
65,174.83323763369862,170.02201138332595,0.030447689438531655,172.91142363219646,3.706322615666859,1.1240600152047706,-2.9085686293694955,169.11484694416993,0.9071644391560288,0.29612586564548016,-0.2656781762069485,,warm
71,185.8818174319219,180.85986921480793,0.3495092731180142,184.00632025009858,3.684223657306015,0.9771040466167115,-2.785830522099412,179.86108910285935,0.9987801119485723,0.2977398448079212,0.05176942831009303,,warm
77,170.45270408874882,166.09253535717428,-0.39200012688579633,169.15784421863322,3.6580298686469326,0.9654307719863874,-3.3286007705177023,165.0528042267884,1.0397311303858827,0.32369607821305624,-0.7156962050988526,,warm
83,135.1996369828886,131.60347764733038,-1.0683393900763194,133.66119477620265,3.631668160647074,0.9654307719863874,-3.058656725947514,130.65699205184856,0.9464855954818079,0.2695003909922786,-1.337839781068598,,warm
89,99.2416311101771,96.07205447481041,-1.2578937466705702,97.00835835135469,3.582089282593061,0.9654307719863874,-2.3142472957570406,95.27980172363907,0.7922527511713443,0.18624287993363847,-1.4441366266042086,,warm
95,62.292987978322344,59.08035739922355,-1.3827865322369246,59.45009013339408,3.5789337474885192,1.0305242365167393,-1.766560139076986,58.37645167363999,0.7039057255835613,0.15865865790559075,-1.5414451901425155,,warm
101,24.33818214088954,20.986308931655753,-1.40296381090107,20.863001985127383,3.58196805288121,1.1040216640999245,-1.2108095612189775,20.37753930133023,0.6087696303255217,0.12759842309769368,-1.5305622339987637,,warm
107,3.941749709610924,0.528331026522763,-1.2642608645098634,0.0,3.5868257754599298,1.1801203651047885,-0.8251964309537941,0.0,0.528331026522763,0.10357470952751044,-1.3678355740373738,,warm
113,4.120609019313833,0.4912256230423697,-1.1208376129422988,0.0,3.5837991206251965,1.244202160586275,-0.707392261897638,0.0,0.4912256230423697,0.09897478887462977,-1.2198124018169285,,warm
119,4.241099345797178,0.4766726886737068,-1.0936286933976282,0.0,3.5911079107513655,1.323675639180772,-0.673684204134959,0.0,0.4766726886737068,0.10780930792239207,-1.2014380013200203,,warm
125,4.345678707530111,0.46503516807698325,-1.0630083949881708,0.0,3.5911451086241204,1.391605164206566,-0.6370715653005747,0.0,0.46503516807698325,0.11631110308607023,-1.179319498074241,,warm
131,4.414421126744447,0.42959808903129526,-0.9132960049588396,0.0,3.5912900621676314,1.3664480919388553,-0.5433170273620401,0.0,0.42959808903129526,0.09094788431066513,-1.0042438892695047,,warm
137,4.482392585173049,0.39851377160773194,-0.7597852250355384,0.0,3.591799028817731,1.3332727440809862,-0.44267918772566756,0.0,0.39851377160773194,0.06867493389934337,-0.8284601589348818,,warm
143,4.550170824173798,0.3770725199148777,-0.6370154816829178,0.0,3.61303709483688,1.300516883960243,-0.3633831546233248,0.0,0.3770725199148777,0.051582584833743055,-0.6885980665166608,,warm
149,4.567300728181164,0.3618660111898475,-0.5634526015671024,0.0,3.57440175556925,1.297806149973025,-0.30490717736111184,0.0,0.3618660111898475,0.04763766467439798,-0.6110902662415004,,warm
155,4.565443096070636,0.3546249069524774,-0.5192567530551544,0.0,3.5310007005015698,1.297806149973025,-0.2633637544039586,0.0,0.3546249069524774,0.0478654173186229,-0.5671221703737773,,warm
161,4.549961611822299,0.35183721647245636,-0.4954283635261826,0.0,3.4885064323519472,1.297806149973025,-0.2363509705026728,0.0,0.35183721647245636,0.04996880915791379,-0.5453971726840964,,warm
167,4.489563905918757,0.34486567158992826,-0.5115099753322778,0.0,3.4468859242975958,1.297806149973025,-0.2551281683518633,0.0,0.34486567158992826,0.050180978632511086,-0.561690953964789,,warm
173,4.439910857263972,0.3358778860995387,-0.5426626413018687,0.0,3.4160162854028764,1.3127512015207639,-0.28885662965966846,0.0,0.3358778860995387,0.05086755862347705,-0.5935301999253457,,warm
179,4.402638009377539,0.3198718515129437,-0.5271363541682788,0.0,3.377004599178405,1.3141142086330955,-0.2884807984339618,0.0,0.3198718515129437,0.0469251627764783,-0.574061516944757,,warm
185,4.439864873884422,0.28548806046233416,-0.20932260795031538,0.0,3.3968687123901127,1.1265778220640237,-0.08358166056971413,0.0,0.28548806046233416,0.012372629396398344,-0.22169523734671373,,warm
