entropy_if_IB,entropy_gen_IB,entropy_of_IB
1.5660968468383585,0.013548194028906842,1.3426592056715063
1.5650216891581836,0.013700804450408915,1.340406720595528
1.563902153877869,0.013860570555779255,1.3380625476674501
1.5627392580871389,0.01402744897730875,1.3356289686986427
1.5615352455854132,0.014201219272891412,1.3331108309612185
1.5602960073744716,0.014381125871029504,1.3305205964833282
1.5590312947373295,0.014565830137252883,1.327878761972634
1.557752597864721,0.014753704538938229,1.3252094041212175
1.556470487180079,0.014943217784842786,1.3225346212908657
1.5551933232400008,0.01513313074073791,1.3198718499284645
1.553927372948355,0.015322488868705356,1.3172341214446277
1.5526773023573461,0.015510557487535786,1.3146311024599981
1.5514465683176464,0.015696769803661872,1.3120699207539905
1.5502376756614578,0.01588069332612317,1.309555708441575
1.5490523385251547,0.01606200952750348,1.3070919437772714
