,exergy_if_BL,exergy_c_BL,exergy_of_BL,exergy_if_sun,exergy_if_sky,exergy_if_gnd,exergy_if_cv,exergy_c_sun,exergy_c_rad,exergy_of_os,exergy_of_cd
305,-0.220392424512452,0.07363976534494372,-2.09441555852963,0.0,0.5417894957992695,1.3373967125141495,-2.099578632825871,0.0,0.07363976534494372,0.3897772976267402,-2.48419285615637
311,-0.008528656290148762,0.053038637307440496,-1.8554483465194394,0.0,0.5074407990151232,1.393009709284007,-1.9089791645892789,0.0,0.053038637307440496,0.3734697332650594,-2.2289180797844987
317,0.14863298101107003,0.04037204436088655,-1.6841213336112035,0.0,0.4883769127729704,1.428360570073585,-1.7681045018354855,0.0,0.04037204436088655,0.35724142643017237,-2.041362760041376
323,0.2614846584970498,0.03132016144895993,-1.5587340161228123,0.0,0.45967955967631274,1.4786189248232025,-1.6768138260024654,0.0,0.03132016144895993,0.3598230879572093,-1.9185571040800216
329,0.6901940647149805,0.029898325815254354,-1.1445137763812143,0.0,0.5319252451163208,1.373412464845851,-1.2151436452471913,0.0,0.029898325815254354,0.2784306329815059,-1.4229444093627202
335,148.384448561111,144.83966827794453,1.8758606283237238,147.74047607424563,0.6234165847653054,1.2588273530721086,-1.2382714509720678,144.77490313001465,0.06476514792987205,0.2948552659114798,1.581005362412244
341,359.2053306135063,348.30140652935313,9.097231027743067,362.4237212341548,0.561768059416214,1.3086665467425667,-5.08882522680734,347.8578463723965,0.44356015695661066,1.1159338685713163,7.981297159171751
347,527.4152537466056,509.05145328103447,16.35445848941641,534.2647586190272,0.8797655985905705,0.9285592091095667,-8.657829680121795,507.77479989132956,1.2766533897048924,1.7362798804023243,14.618178609014086
353,657.1560778312496,632.3613954685453,22.50279070130401,669.1262239393459,1.2733680863099108,0.5955444634982827,-13.839058657904463,629.769195429005,2.592200039540293,2.4957307816037657,20.007059919700247
359,718.9983157074887,691.7938227756154,24.613915307000845,735.3172215255338,1.7691182704564126,0.33048644763590324,-18.418510536137305,687.6807188763529,4.113103899262435,3.0773594792586785,21.536555827742166
365,711.3298921199835,684.7431684751607,23.77790698756437,732.6147770953589,1.9556428233433363,0.2702166504381686,-23.51074444915692,679.3961176392528,5.347050835907915,3.9187950603085793,19.859111927255793
371,631.4471783919231,611.0807207469685,17.37511384184448,654.6693120691333,2.1083893750699474,0.23438855763893676,-25.564911609919026,605.0866233511434,5.994097395825049,4.267224076008526,13.107889765835957
377,468.6138341053621,459.362139063631,6.225201296380318,488.38238457007236,2.2522548201500303,0.19593051506316955,-22.216735799923484,453.70206315893216,5.6600759046988545,3.699366021118792,2.525835275261526
